Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to_Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Culture_Amenity_to_Property,Culture_Amenity_id,Nearest_Culture_Amenity_to_property,Number_Culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_property,Number_Indoor_Amenity_to_Property
4432540,52.4473539,-6.3469303,0.91537901,-0.110774831,8.993599449,Act5349,Seán Ógs Bar,0,6.626818654,Act6490,The Surf Shack Curracloe,0,9.931900525,Act474,Ballyelland Pottery,0,9.493353386,Act500,Ballykeele Garden,0,5.381028772,Act440,Ballinesker Beach ,0
4454727,52.5993975,-8.8060991,0.918032671,-0.153695424,4.046484729,Act354,Aunty Lena's Bar,3,1.992115027,Act183,Angling Bleach Lough,7,4.002038186,Act79,Adare Woollens,4,3.789132594,Act350,Augustinian Abbey Adare,4,3.700746329,Act1913,Desmond Castle Adare,8
4432817,51.59762,-9.568404,0.900548355,-0.167000154,2.399583472,Act689,Blairscove House & Restaurant,1,3.850684944,Act5417,Sheep's Head Way,6,12.18609825,Act6487,The Stuffed Olive,0,3.663885331,Act101,Ahakista Air India Plane Disaster Memorial,2,7.28735708,Act11001,SWI500,0
4448747,53.3054493,-6.2031515,0.9303556,-0.108265418,0.561902178,Act4746,Old Punch Bowl Bar,90,0.831904668,Act755,Blackrock Park,23,1.698817092,Act6305,The Organic Supermarket,14,1.051963537,Act4566,National Folklore Collection,31,2.770191764,Act5356,Seapoint  Beach,29
4440864,51.821931,-8.4033913,0.904463321,-0.146666847,1.140113787,Act9885,"Fig & Olive Café, Carrigaline",2,3.760398775,Act5035,Raffeen Creek Golf Club,1,1.145535418,Act3009,Hassett's Bakery,1,4.189667539,Act6321,The Pavilion Garden Centre,1,5.409167926,Act1675,Cork EcoTours,0
4416307,52.8082518,-6.1386046,0.921677866,-0.107138862,1.487460162,Act6819,Victorian Tea Times,3,2.195395189,Act265,Arklow Golf Club,1,7.653826403,Act6246,The Mill at Avoca Village,0,1.304305456,Act267,Arklow Maritime Museum,1,9.957684612,Act376,Avoca Studio Gallery,0
4452303,53.6108671,-6.2106118,0.935686146,-0.108395624,4.335861445,Act243,Ardgillan Castle Café,3,2.488832767,Act407,Balbriggan Golf Club,2,12.83378347,Act229,Architectural Furniture,0,4.304954443,Act244,Ardgillan Demesne,2,1.238116209,Act2915,Green Landscapes Social Golf Breaks Ireland,1
4459106,53.3411989,-6.3067438,0.930979548,-0.110073444,0.262233238,Act2139,Dublin Food Co-op Organic Food Market,376,0.247659772,Act596,Battles and Barracks,91,1.592514143,Act6791,Urban Plant Life Garden Centre,66,0.215784081,Act3694,Kilmainham Gaol,166,0.405831447,Act74,Adam Ladd Tours,236
4454626,53.0415677,-7.2949182,0.925749997,-0.127320341,0.850812508,Act3478,Kavanaghs Pub - The Wrens Nest,5,0.80620551,Act4139,M Kavanagh Bicycle Hire,1,26.78865568,Act1230,Castlecomer Estate Craft Yard,0,14.24238558,Act46,Abbeyleix Heritage House,0,0.862568962,Act6011,The Dunamaise Arts Centre,4
4451959,53.4039338,-6.2087414,0.932074478,-0.10836298,0.709671594,Act1030,Café at Butlers Chocolate Experience,24,3.586661028,Act1518,Clontarf Golf Club,7,2.817186801,Act4765,Omni Park Shopping Centre,1,0.844157463,Act5381,Shackleton Outdoor Education Centre,3,0.709671594,Act1017,Butlers Chocolate Experience,7
4362906,53.3029713,-6.2023183,0.93031235,-0.108250876,0.741345146,Act4746,Old Punch Bowl Bar,70,0.866363384,Act755,Blackrock Park,19,1.512016584,Act5698,Stillorgan Village Centre,13,0.968127434,Act2141,Dublin Garden Trail,23,2.645764917,Act5356,Seapoint  Beach,25
4452916,53.3414626,-6.2282811,0.93098415,-0.108704012,0.593609275,Act4453,Mourne Seafood Bar,390,0.222197238,Act6491,Surfdock Watersports,94,0.754918105,Act5985,The Design Tower,65,0.719528224,Act5986,The Design Tower - Breda Haugh Jeweller,160,0.336346548,Act3315,Irlanda en Espanol,227
4443054,52.6516712,-7.2555838,0.918945019,-0.126633826,0.16053254,Act6360,The Rafter Dempsey's,38,0.201061239,Act4885,Pedal and Putt - Amazing Ireland Tours,18,0.103169903,Act3955,Liam Costigan Gold and Silversmith,8,0.124656018,Act5261,Saint Marys Cathedral,24,0.27964742,Act3616,Kilkenny Ghost Tours,18
4448470,53.2728517,-6.2552464,0.929786664,-0.109174645,1.16253132,Act4229,Marley Park Farmers Market,27,0.463564794,Act6849,Walkabout Wicklow - Guided Walks and Tours in Ireland,24,1.164938107,Act5028,Rachel Swan,5,2.611459737,Act3142,"Imaginosity, Dublin Children’s Museum",6,1.16057521,Act10984,Studio ID-11,8
4436719,53.3904753,-6.2574314,0.931839583,-0.109212781,0.589810202,Act2131,Dublin City University Conference and Events,112,2.233836485,Act2947,Griffith Park,30,0.75560233,Act4765,Omni Park Shopping Centre,10,0.593010445,Act1864,DCU Language Services  -Dublin City University,53,0.898304929,Act6366,The Rediscovery Centre,119
4432167,53.1607231,-7.2109596,0.927829651,-0.125854987,5.990879482,Act1267,CaToCa Fine Food and Giftware,0,2.402152147,Act4954,Portarlington Golf Club,1,19.62903556,Act3586,Kildare Village Outlet Shopping,0,15.93394438,Act194,Annaharvey Farm Cookery School,0,4.973770268,Act6120,The Heritage Spa,1
4463026,52.7852005,-6.173268,0.921275545,-0.107743852,1.957159634,Act6293,The Old Ship,3,1.663178994,Act265,Arklow Golf Club,1,8.844329427,Act6246,The Mill at Avoca Village,0,2.18276385,Act267,Arklow Maritime Museum,1,8.512757806,Act6980,DUPLICATE Wexford Lavender Farm,0
4450643,53.3942793,-6.2629225,0.931905976,-0.109308618,0.129594007,Act521,Ballymun Market,56,2.157380867,Act5444,Silloge Park Public Golf Course,20,1.118042259,Act4765,Omni Park Shopping Centre,3,1.057041278,Act1864,DCU Language Services  -Dublin City University,32,0.389159478,Act6366,The Rediscovery Centre,74
4457488,52.6562224,-7.2467553,0.919024453,-0.12647974,0.042367768,Act1088,Campagne,38,0.480197997,Act2838,DUPLICATE Go With The Flow River Adventures,18,0.163274879,Act4831,Padmore & Barnes,8,0.088774278,Act3619,Kilkenny Library Local Studies,24,0.189362527,Act11560,Art It,18
4451990,52.674728,-7.2553938,0.919347436,-0.12663051,0.738276989,Act5322,Scott's Bar and Gulliver's Restaurant,38,0.535679838,Act3617,Kilkenny Golf Club,18,2.075738622,Act4831,Padmore & Barnes,8,2.011076285,Act5622,St Canice's Cathedral and Round Tower,24,1.312625668,Act1713,Countryside Leisure Activity Centre,18
4465874,53.3955103,-6.2840084,0.931927461,-0.109676637,1.362567999,Act521,Ballymun Market,31,2.289799126,Act5444,Silloge Park Public Golf Course,16,2.519172895,Act4765,Omni Park Shopping Centre,2,2.052976814,Act1864,DCU Language Services  -Dublin City University,20,1.319942881,Act4616,Newgrange & Boyne Valley - Day Tours Unplugged,23
4454631,52.9502365,-6.8597114,0.924155967,-0.11972455,5.196902229,Act985,Burtown House Gardens,0,1.963059476,Act3592,Kilkea Castle Golf Club,1,22.93135322,Act3586,Kildare Village Outlet Shopping,0,5.115517175,Act6154,The Irish Pewtermill Centre,0,1.963059476,Act6454,The Spa at Kilkea Castle,3
4460922,54.1007582,-7.8535095,0.944236358,-0.137069599,8.97051133,Act2824,Glenview Folk Museum,0,5.186664405,Act426,Ballinamore Golf Club,0,23.46826677,Act3920,Leitrim Crystal,0,6.328004155,Act3921,Leitrim Genealogy Centre,0,13.56582081,Act4800,Oshadi Spa at Lough Allen Hotel,0
4420206,52.7514416,-7.8165569,0.920686341,-0.136424654,5.163084173,Act5805,Templemore Farmers Market,0,4.566472404,Act5806,Templemore Golf Course,1,24.79983031,Act685,Bevans Glass,0,0.790616529,Act2501,Fiddlers Retreat,1,10.52081564,Act2458,Farney Castle,0
4445981,51.7442012,-8.7374755,0.90310668,-0.152497716,0.143365424,Act2329,Embrace Abundant Bandon,4,2.668416146,Act556,Bandon Golf Club,2,0.212396641,Act2942,Grey Heron West Cork,1,0.287125264,Act9631,West Cork Heritage Centre,2,12.22052486,Act342,Atlantic Whale and Wildlfe Tours,0
4465945,53.3337491,-7.0697317,0.930849524,-0.123390095,1.628277333,Act4862,Patrick Larkin Bar & Lounge,1,3.759943711,Act2298,Edenderry Golf Club,2,22.4693846,Act3586,Kildare Village Outlet Shopping,0,10.62437813,Act4126,Lullymore Heritage  & Discovery Park,0,9.798185293,Act6153,The Irish Parachute and Skydiving Club,0
4458713,51.8684051,-8.7999722,0.905274447,-0.153588489,7.106172917,Act6058,The Garden Restaurant at Griffin's Garden Centre,0,5.55213313,Act690,BEYOND THE GLASS Wild Atlantic Way Adventure Tours,0,14.34486462,Act2942,Grey Heron West Cork,0,6.283718561,Act3581,Kilcrea Franciscan Friary,0,5.55213313,Act687,Beyond the Glass Adventure Tours,0
4465994,52.6541454,-7.2447879,0.918988202,-0.126445402,0.208309111,Act6999,White Oak Restaurant - Kilford Arms Hotel,38,0.385972168,Act2838,DUPLICATE Go With The Flow River Adventures,18,0.123694149,Act4142,MacDonagh Junction Kilkenny - Shopping Centre,8,0.123694149,Act3613,Kilkenny Famine Experience,24,0.123694149,Act11560,Art It,18
4442344,51.9549482,-7.8492205,0.906784909,-0.136994741,0.087946123,Act5953,The Coachouse Bar & Bistro at The Old Imperial Hotel,5,0.316186648,Act7145,Youghal Self Guided Historic Town Walk,6,3.918303804,Act5451,Simply Irish,2,0.28556899,Act5661,St. Mary's Collegiate Church,5,0.414437147,Act4187,Mall Arts Centre,3
4463548,51.7010826,-9.6132543,0.902354118,-0.167782939,7.000086592,Act4141,MacCarthys Bar Glengarriff,0,6.583106014,Act2703,DUPLICATE Garinish Island,0,4.718948659,Act5245,Rynhart Fine Art Bronze Studio,1,2.523896748,Act6991,Whiddy Island View Discovery Point,1,6.783070504,Act2805,Glengarriff Woods Nature Reserve,0
4421491,52.3449916,-7.6747332,0.91359245,-0.133949364,2.064733589,Act4473,Mulcahy's,3,2.185354618,Act1509,Clonmel Golf Club,2,1.095224305,Act1510,Clonmel Market at Dudleys Mill,4,1.861555829,Act5581,South Tipperary Arts Centre,4,1.371759423,Act5730,Suir Blueway Tipperary,5
4468442,52.650159,-7.252908,0.918918626,-0.126587125,0.041877799,Act3048,Hibernian Bar and Harpers Restaurant,38,0.121117354,Act4648,North Kilkenny Cycle Loop,18,0.1130429,Act5230,Rudolf Heltzel,8,0.131663273,Act6123,The Hole In The Wall,24,0.186104896,Act3616,Kilkenny Ghost Tours,18
4466520,52.6745143,-8.5025285,0.919343706,-0.148397117,1.071601495,Act2509,Finnegans Bar & Restaurant,6,4.418104474,Act5131,River Shannon Salmon Fishing,3,3.71528032,Act4780,Orchard Pottery,1,4.105892083,Act3273,Irish Harp Centre & Music School,2,4.211069656,Act6777,University Arena,3
4409316,51.865083,-8.075021,0.905216465,-0.140935704,0,Act511,Ballymaloe House Restaurant,1,5.192476416,Act1246,Castlemartyr Resort,0,0.06157267,Act5848,The Ballymaloe Shop and Café,2,0,Act510,Ballymaloe Cookery School Garden,4,4.57015145,Act6984,Whale of a Time,1
4468649,53.464116,-6.2050595,0.933124856,-0.108298719,0.865379981,Act6109,The Harp Lounge,26,0.973087914,Act2914,Green Golf Ball,8,8.451040229,Act4765,Omni Park Shopping Centre,0,0.877695463,Act5757,Swords Museum  and Fingal Genealogy,9,5.417473786,Act410,Balheary Shooting,0
4330367,52.6226681,-8.642604,0.91843882,-0.150841896,1.989383338,Act1010,Butlers Chocolate Café - Limerick,27,1.313529698,Act3976,Limerick Golf Club,10,7.710701262,Act4780,Orchard Pottery,0,1.199916827,Act3975,Limerick Genealogy,4,4.029815295,Act6459,The Spa at No.1 Pery Square Hotel & Spa,12
4453915,52.3030556,-8.5386111,0.912860529,-0.149026877,10.86853987,Act3699,Kilmallock Farmers Market,0,2.769874012,Act6683,Trailriders,8,11.35810372,Act5984,The Design and Craft Studio,0,10.73220329,Act287,Ash Hill House,0,10.80946854,Act3697,"Kilmallock Churches, Castle and Town Gate",0
4444017,53.42723,-6.58392,0.932481074,-0.114911082,5.023603308,Act4917,Picaderos,0,4.161263832,Act1192,Carton House Golf Club The O'Meara Course,2,13.37732186,Act767,Blanchardstown Shopping Centre,0,4.806308885,Act2952,GUI National Golf Academy,1,4.032774443,Act6446,The Spa at Carton House,2
4380594,52.2717468,-6.4712273,0.912314087,-0.112944223,1.597599602,Act2858,Good Food Ireland,2,3.163614086,Act3436,Johnstown Castle Estate,1,6.132025614,Act3472,Kates Farm Shop,0,7.410052905,Act6432,The Slaney Language Centre,0,5.700236616,Act6413,The SeaSpa at Kelly's Resort Hotel,0
4447943,53.7082542,-6.342331,0.937385871,-0.110694558,0.915196668,Act4289,McHughs Bar & Venue,5,0.764669182,Act5008,Quay Cycles Bicycle Hire,1,0.819075185,Act5974,The Crafty Fox,4,0.894910318,Act3060,Highlanes Municipal Art Gallery,2,0.652796977,Act2087,Drogheda Museum Millmount,9
4435632,53.4886674,-7.3623293,0.933553359,-0.128496887,0.050949088,Act5938,The Charles Brinsley Restaurant at Bloomfield House Hotel,8,0.872024155,Act4490,Mullingar Golf Club,11,35.30047553,Act1508,Clonmacnoise Pottery,0,1.354094873,Act657,Belvedere House Gardens and Park,7,2.150591637,Act4377,Mollie Moo’s Pet Farm,3
4276863,53.7297731,-6.6546164,0.937761447,-0.116144967,3.128745158,Act8502,Brabazon Restaurant at Tankardstown House,1,6.952272471,Act5142,Rock Farm Slane - Electric Bikes,0,8.597486113,Act4586,Navan Shopping Centre,0,6.3062859,Act2217,Dunmoe Castle,0,7.320902821,Act623,Beautiful Meath,0
4444497,52.0979281,-9.9122408,0.909280379,-0.173001238,1.680076428,Act3354,Jack's Coastguard Restaurant,3,1.934853208,Act2044,Dooks Golf Links,2,8.765549931,Act3353,Jacks Bakery,0,6.554639022,Act5190,Rossbeigh Strand,0,8.941870485,Act3682,Killorglin Rowing Club,0
4452936,52.3387021,-6.5333583,0.913482678,-0.114028614,2.535163733,Act2118,Dry Dock Bar,15,3.37103831,Act3743,Kingsford Equestrian Centre,8,2.587508184,Act3472,Kates Farm Shop,3,4.566757177,Act6945,West Gate Heritage Tower,3,0.977371693,Act4868,Paul Maloney Pottery,10
4464993,52.2215024,-6.3674124,0.911437157,-0.111132311,2.581736371,Act6216,The Lobster Pot Pub and Restaurant,1,1.524416227,Act4809,Our Lady's Island Monastery,3,13.87214129,Act470,Ballycross Apple Farm,0,4.078212424,Act5762,Tacumshane Windmill,1,2.765103702,Act1140,Carne Beach,1
4438125,52.055668,-9.4779536,0.908542801,-0.165421497,1.78307245,Act6083,The Great Southern Garden Room Restaurant,35,1.698782724,Act3549,Kerry Nature Trails,17,1.762166804,Act3648,Killarney Outlet Centre,3,2.092299084,Act3637,Killarney Brewing Company,5,0.847976274,Act4855,Pat Buckley's Personal Irish Tours,32
4458104,52.2364067,-6.3216668,0.911697286,-0.1103339,5.517175851,Act6216,The Lobster Pot Pub and Restaurant,0,0.371709659,Act1529,Club Choice Ireland,3,14.89108845,Act4236,Martin Doyle Goldsmith,0,7.58839471,Act5762,Tacumshane Windmill,0,4.722077083,Act1140,Carne Beach,1
4359058,52.6646638,-8.6535041,0.919171783,-0.151032138,1.218420413,Act1981,Dolans,28,1.044882146,Act5130,River Shannon - Shannonbridge to Limerick City,12,6.541130048,Act4780,Orchard Pottery,0,1.294968823,Act6575,Thomond Park,10,0.725424146,Act2616,Funworld,18
4445010,53.0644309,-6.7388083,0.926149035,-0.117614392,4.091096439,Act5068,Rathsallagh Country House,1,4.091096439,Act5069,Rathsallagh Golf Club,1,12.99305141,Act4613,Newbridge Silverware Visitor Centre,0,6.962158432,Act1779,Crookstown Craft Village,0,9.853894216,Act1374,Chrysalis Holistic Centre,0
4445285,53.1302865,-6.7452791,0.927298432,-0.117727329,0.266227337,Act2441,Fallon's Bar & Café,1,3.988962026,Act312,Athgarvan Pitch and Putt Club,2,6.132963595,Act4613,Newbridge Silverware Visitor Centre,0,3.596709641,Act3003,Harristown House,2,5.97232196,Act1810,Curragh Military Museum,0
4444626,52.28344,-6.56566,0.912518172,-0.114592385,6.348711849,Act5361,Seasons Restaurant,0,3.724950195,Act5423,Shelmalier Forth Mountain,4,5.972970807,Act3472,Kates Farm Shop,0,6.916109753,Act6344,The Potter's Yard- Patricia Howard Pottery,0,5.54807966,Act4868,Paul Maloney Pottery,0
4460851,53.6945741,-6.2435025,0.937147109,-0.108969675,1.991597616,Act5570,Sonairte The National Ecology Centre,2,1.157202132,Act3884,Laytown & Bettystown Golf Club,3,3.707656863,Act229,Architectural Furniture,1,0.455490511,Act3226,Ireland Painting Holidays,2,0.513792704,Act2614,Funtasia Bettystown,2
4449001,53.2814601,-6.4428248,0.929936909,-0.112448506,0.323779603,Act6235,The Maple Tree Bar & Bistro,2,0.692597632,Act1396,Citywest Hotel Golf Club,10,4.762457432,Act6475,The Square,1,5.172935131,Act1907,Des Carty Traditional Music School,0,3.148175813,Act3561,Kidspace Indoor Playcentre,1
4448999,53.2858212,-6.3868073,0.930013025,-0.111470816,3.075135161,Act1359,China House,5,1.191821142,Act5352,Sean Walsh Memorial Park,10,1.007826802,Act6475,The Square,1,1.763560848,Act1907,Des Carty Traditional Music School,3,2.687520979,Act636,Belfast & Titanic Tour - Hilltop Treks,6
4438021,53.1938103,-6.0905142,0.928407131,-0.106299526,0.622131137,Act11193,Sugarloaf Adventures,5,1.258893871,Act3685,Killruddery House & Gardens,10,1.650700189,Act7026,Wicklow Wolf Brewing Co.,1,1.267200456,Act3684,DUPLICATE Killruddery House,3,1.445058451,Act860,Bray Bowl,5
4357456,53.3893686,-6.380072,0.931820268,-0.111353263,0.872907493,Act5817,TGI Fridays Blanchardstown,10,0.679219182,Act6627,Tolka Valley Park,14,0.776870209,Act767,Blanchardstown Shopping Centre,3,2.271900611,Act3047,Hibernia Roots,2,1.632661205,Act5382,Shamrock Taxi Tours,5
4454576,51.7047217,-8.5238926,0.902417632,-0.148769991,0.073394342,Act3442,Jo's Café,28,0.128468693,Act3765,Kinsale Self Guided Historic Town Walk,11,0.124742611,Act3802,KoKo Chocolate,4,0.170496216,Act5642,St Multose Church,10,0.069599319,Act6051,The Gallery Kinsale,7
4453923,52.3030556,-8.5386111,0.912860529,-0.149026877,10.86853987,Act3699,Kilmallock Farmers Market,0,2.769874012,Act6683,Trailriders,8,11.35810372,Act5984,The Design and Craft Studio,0,10.73220329,Act287,Ash Hill House,0,10.80946854,Act3697,"Kilmallock Churches, Castle and Town Gate",0
4464296,53.5204006,-6.5401325,0.934107207,-0.114146846,6.82959098,Act2432,Fairyhouse Racecourse,0,1.167735912,Act741,Black Bush Golf Club,2,9.5528621,Act1353,Chez Emily Fine Handmade Chocolates,0,6.645481316,Act4526,My Ireland Heritage - Genealogy,0,5.410212743,Act6520,THE VENUE Theatre,0
4417833,51.8816536,-8.5302131,0.905505677,-0.148880304,1.993697224,Act6464,The Spa at The Kingsley Hotel,49,1.920665809,Act5872,The Bike Shed,11,4.20180433,Act6409,The Sandwich Stall,8,2.06671231,Act4736,Old Cork Waterworks Experience,34,1.574767319,Act1375,Chuckies Playzone,18
4418463,52.5181968,-7.8126295,0.916615451,-0.136356108,5.110810069,Act4347,Mikey Ryan’s Bar and Kitchen,0,4.957043699,Act6611,Tipperary Heritage Way,1,5.108301563,Act5187,Rossa Pottery,0,5.075635709,Act8606,Cashel Heritage Centre,0,3.838456732,Act6749,Turas Éireann,2
4454920,52.6472703,-8.6440719,0.918868209,-0.150867515,0.765997888,Act1010,Butlers Chocolate Café - Limerick,27,1.019022807,Act780,Bleach Lough (Ardlahan),14,6.344353921,Act4780,Orchard Pottery,0,1.54566827,Act3975,Limerick Genealogy,10,1.529653607,Act6459,The Spa at No.1 Pery Square Hotel & Spa,19
3765723,51.896719,-8.470539,0.905768618,-0.147838795,0.063958835,Act11484,Thyme at Seventy Six on the Mall ,59,0.260173615,Act5878,The Blackwater Way,13,0.139692248,Act4611,Newbridge Silverware,8,0.281619481,Act5627,St Finbarr's South Church,38,0.078027242,Act2372,Escape Spa at The Imperial Hotel,24
4444768,53.338607,-9.180955,0.930934311,-0.160237893,0.075801191,Act6998,White Gables Restaurant,4,0.114421694,Act2916,Green Marble Tours,5,0.043292244,Act1523,Cloonmore Pottery,4,6.053920871,Act5182,Ross Castle,0,0.270972437,Act1467,Cliffs of Moher Tour - Celtic Chauffeur Services,1
4450023,51.8948729,-8.4243221,0.905736397,-0.147032158,1.030499818,Act2948,Grill Restaurant at Silver Springs,61,1.128764683,Act4170,Mahon Golf Club,13,3.219424838,Act4611,Newbridge Silverware,8,1.610776619,Act1385,CIT Blackrock Castle Observatory,38,0.832815752,Act4689,Ocean Crew,27
4453904,52.3030556,-8.5386111,0.912860529,-0.149026877,10.86853987,Act3699,Kilmallock Farmers Market,0,2.769874012,Act6683,Trailriders,8,11.35810372,Act5984,The Design and Craft Studio,0,10.73220329,Act287,Ash Hill House,0,10.80946854,Act3697,"Kilmallock Churches, Castle and Town Gate",0
4375213,52.3789287,-6.4486958,0.914184764,-0.112550974,3.845572452,Act9982,River Bar & Restaurant at the Riverbank House Hotel,17,4.022534962,Act6975,Wexford Harbour Boat Club,6,0.527559938,Act474,Ballyelland Pottery,3,4.337811737,Act6945,West Gate Heritage Tower,3,3.117417515,Act6542,The Wexford Slobs and Wildfowl Reserve,10
3665703,53.0093849,-6.7855742,0.925188301,-0.118430611,3.128483281,Act4406,Moore's Pub and Restaurant,2,4.406540955,Act5069,Rathsallagh Golf Club,1,18.27386795,Act3586,Kildare Village Outlet Shopping,0,1.94365351,Act1779,Crookstown Craft Village,4,4.252291537,Act4403,Moone High Cross,1
4323325,53.0093849,-6.7855742,0.925188301,-0.118430611,3.128483281,Act4406,Moore's Pub and Restaurant,2,4.406540955,Act5069,Rathsallagh Golf Club,1,18.27386795,Act3586,Kildare Village Outlet Shopping,0,1.94365351,Act1779,Crookstown Craft Village,4,4.252291537,Act4403,Moone High Cross,1
4468776,53.0093849,-6.7855742,0.925188301,-0.118430611,3.128483281,Act4406,Moore's Pub and Restaurant,2,4.406540955,Act5069,Rathsallagh Golf Club,1,18.27386795,Act3586,Kildare Village Outlet Shopping,0,1.94365351,Act1779,Crookstown Craft Village,4,4.252291537,Act4403,Moone High Cross,1
4442098,52.6486069,-8.6382593,0.918891537,-0.150766066,0.930241389,Act4717,O'Dwyers Bar,28,1.149405588,Act780,Bleach Lough (Ardlahan),15,5.92506831,Act4780,Orchard Pottery,0,1.210505259,Act8164,The People's Museum of Limerick,10,1.191009031,Act6459,The Spa at No.1 Pery Square Hotel & Spa,20
4285093,52.2052173,-6.6000546,0.911152929,-0.115192684,3.629140291,Act6426,The Silver Fox Seafood Restaurant,1,3.69677039,Act3705,Kilmore Quay Angling - Eamonn Hayes,8,2.943106539,Act470,Ballycross Apple Farm,3,2.811216443,Act6344,The Potter's Yard- Patricia Howard Pottery,1,2.75922111,Act6343,The Potters Yard,4
4451864,53.1334338,-6.8420226,0.927353363,-0.119415822,5.18139179,Act5442,Silken Thomas,0,1.554205078,Act4272,McDonagh Pitch And Putt Club,7,5.467791101,Act3586,Kildare Village Outlet Shopping,0,5.259582118,Act3584,Kildare Town Heritage Centre,0,1.565150384,Act1810,Curragh Military Museum,2
4418155,51.8890655,-8.5786512,0.905635039,-0.149725709,1.076902967,Act436,Ballincollig Farmers' Market,4,0.926351822,Act437,Regional Park Ballincollig,5,4.808453051,Act6024,The Erin Giftstore,1,4.2302734,Act772,Blarney House & Gardens,3,4.929401121,Act1375,Chuckies Playzone,1
4455179,52.8007982,-6.1472749,0.921547776,-0.107290187,0.489774276,Act6819,Victorian Tea Times,3,1.24716382,Act265,Arklow Golf Club,1,7.983799019,Act6246,The Mill at Avoca Village,0,0.292277919,Act267,Arklow Maritime Museum,1,10.31875349,Act376,Avoca Studio Gallery,0
4450388,53.5613922,-6.1010313,0.934822646,-0.106483084,1.559827982,Act5479,Skerries Mills Farmers Market,7,0.896172886,Act5477,Skerries Golf Club,4,19.30259971,Act3117,Howth Market,0,4.438898128,Act4127,Lulu + Belle,3,1.559607157,Act5478,Skerries Mills,1
4454297,52.3395673,-6.4605125,0.913497778,-0.112757214,0.024669225,Act7123,Wrens Nest,19,0.329285222,Act6970,Wexford Cycle Routes,6,0.164203777,Act4236,Martin Doyle Goldsmith,4,0.118059013,Act5629,St Iberius Church,3,0.221045475,Act5574,South East Angling Services,11
4334891,52.6769006,-8.5021592,0.919385355,-0.148390672,1.184066489,Act2509,Finnegans Bar & Restaurant,6,4.152049859,Act5131,River Shannon Salmon Fishing,3,3.796834157,Act4780,Orchard Pottery,1,3.842654321,Act3273,Irish Harp Centre & Music School,2,4.250126207,Act6777,University Arena,3
4349025,53.3592825,-6.2408233,0.931295166,-0.108922915,0.800399171,Act1769,Croke Park Stadium,391,0.533151329,Act2427,Fairview Park,89,1.630645302,Act4274,McDowells Jewellers The Happy Ring House,66,0.684525816,Act1433,Clasac,164,0.706057661,Act2362,Ericsson Skyline Tour Croke Park,234
4413617,52.3338987,-6.4586644,0.913398843,-0.112724959,0.192286894,Act5677,Stable Diet Café and Patisserie,19,0.219615893,Act3018,Hayes Cycles and Fishing Shop,6,0.614947765,Act4236,Martin Doyle Goldsmith,3,0.575057931,Act6432,The Slaney Language Centre,3,0.404065109,Act6443,The South Wexford Coastal Tour,11
4458965,52.6473303,-8.6386365,0.918869256,-0.15077265,0.902404789,Act1010,Butlers Chocolate Café - Limerick,28,1.229256458,Act780,Bleach Lough (Ardlahan),15,6.002753567,Act4780,Orchard Pottery,0,1.348712736,Act8164,The People's Museum of Limerick,10,1.329356468,Act6459,The Spa at No.1 Pery Square Hotel & Spa,20
4372923,52.5994444,-6.3463889,0.918033489,-0.110765382,7.902354389,Act6926,Wells House Gardens,0,2.746184866,Act3305,Irish Ways Walking Holidays Summer Seabirds Wexford,2,9.156251701,Act4222,Market House Design,0,1.905682635,Act517,Ballymore Historic Features,2,2.746184866,Act3302,Irish Ways Walking Holidays,1
4452361,52.803769,-8.4778962,0.921599627,-0.147967202,2.414815177,Act1892,Derg Room Restaurant,4,2.097763865,Act5403,Shannon's Lough Derg Pike and Coarse Fishery,8,11.3298345,Act4944,Pónaire,0,2.248163757,Act2528,Fishing for Kids,3,2.119950734,Act5366,Secret Ireland Escapes,3
4452582,52.7974648,-6.152687,0.921489597,-0.107384646,0.078268741,Act6819,Victorian Tea Times,3,0.889530554,Act265,Arklow Golf Club,1,8.117497782,Act6246,The Mill at Avoca Village,0,0.249472435,Act267,Arklow Maritime Museum,1,10.45097405,Act6980,DUPLICATE Wexford Lavender Farm,0
4456066,53.3203726,-6.6327774,0.93061606,-0.115763804,1.61611205,Act6204,The Legends Restaurant at The K Club,2,1.051078998,Act6312,The Palmer Ryder Cup Course,4,9.745111702,Act3275,Irish Horse Gateway,0,4.914265692,Act3027,Hebe Adventures,1,1.61611205,Act6173,The K Spa at The K Club,3
4468985,53.2755255,-7.4933852,0.929833331,-0.130784244,0.034885369,Act1035,Cafe India,10,0.45174187,Act6076,The Grand Canal,2,19.76819024,Act4316,Metal Mayhem - Metal Work,0,0.231088787,Act3280,Irish Midlands Ancestry,3,0.072121483,Act5898,The Bridge House Spa,4
